MediaPoliaBuracoDiametro_1,mm,3 mm,
DistalDiametroPolia_1,mm,15 mm,
Distal1Tamanho_1,mm,30 mm,
DistalPoliaBuracoAltura_1,mm,DistalDiametroPolia_1 / 2 - 1 mm,
d123_1,mm,DistalDiametroPolia_1,
d126_1,mm,Distal1Tamanho_1 - DistalDiametroPolia_1 / 2,
d127_1,mm,ProximalLargura_1,
d128_1,deg,0.0 deg,
d129_1,mm,ProximalDiametroBuracoPolia_1,
d130_1,mm,ProximalLargura_1 / 2,
d131_1,mm,DistalPoliaBuracoAltura_1,
d133_1,deg,360.0 deg,
d134_1,,1,
d135_1,mm,FilletExternoCorpo_1,
d136_1,,1,
d137_1,mm,FilletExternoPolia_1,
d138_1,,1,
d139_1,mm,FilletExternoPolia_1,
d140_1,mm,EixoDiametro_1,
d141_1,mm,BuracoPrenderFio_1,
d142_1,mm,DistalDiametroPolia_1 / 2 - 1 mm,
d143_1,mm,-ProximalExpessura_1,
d144_1,deg,0.0 deg,
d145_1,,1,
d146_1,mm,EixoFillet_1,
d43_1,mm,MediaDiametroPolia_1,
d44_1,mm,MediaDiametroEncaixeDistal_1,
d54_1,mm,Media1Comprimento_1 - MediaDiametroPolia_1 / 2 - MediaDiametroEncaixeDistal_1 / 2,
d56_1,mm,MediaLargura_1,
d57_1,deg,0.0 deg,
d60_1,mm,MediaLargura_1 / 2 - ProximalLargura_1 / 2 - 0.5 mm,
d61_1,mm,MediaDiametroPolia_1 + 0.5 mm,
d66_1,mm,MediaDiametroEncaixeDistal_1,
d67_1,mm,Media1Comprimento_1 - MediaDiametroPolia_1 / 2 - MediaDiametroEncaixeDistal_1 / 2,
d86_1,mm,MediaPoliaBuracoDiametro_1,
d87_1,mm,( ( MediaLargura_1 / 2 - ProximalLargura_1 / 2 - 0.5 mm ) / 2 mm ) * 1 mm,
d88_1,mm,MediaPoliaBuracoAltura_1,
d89_1,mm,MediaPoliaBuracoDiametro_1,
d90_1,mm,MediaLargura_1 - ( MediaLargura_1 / 2 - ProximalLargura_1 / 2 - 0.5 mm ) / 2,
d91_1,mm,MediaPoliaBuracoAltura_1,
d93_1,mm,EixoDiametro_1,
d96_1,mm,EixoDiametro_1,
d97_1,mm,Media1Comprimento_1 - MediaDiametroPolia_1 / 2 - MediaDiametroEncaixeDistal_1 / 2,
d106_1,mm,BuracoPrenderFio_1,
d107_1,mm,ProximalDiametroPolia_1 / 2 - 1 mm,
d64_1,mm,ProximalLargura_1 + 1 mm,
d65_1,deg,0.0 deg,
d68_1,mm,ProximalLargura_1 + 1 mm,
d69_1,deg,0.0 deg,
d92_1,deg,360.0 deg,
d94_1,mm,-MediaLargura_1,
d95_1,deg,0.0 deg,
d98_1,mm,-MediaLargura_1,
d99_1,deg,0.0 deg,
d100_1,,1,
d101_1,mm,EixoFillet_1,
d102_1,,1,
d103_1,mm,FilletExternoCorpo_1,
d104_1,,1,
d105_1,mm,FilletExternoPolia_1,
d108_1,mm,-MediaLargura_1,
d109_1,deg,0.0 deg,
d110_1,,1,
d111_1,mm,FilletExternoPolia_1,
d1_1,mm,MediaDiametroPolia_1,
d38_1,mm,ProximalDiametroPolia_1,
d58_1,mm,EixoDiametro_1,
d70_1,mm,ProximalDiametroEncaixeMedio_1,
d71_1,mm,EixoDiametro_1,
d72_1,mm,Proximal2Comprimento - ProximalDiametroPolia_1 / 2 - ProximalDiametroEncaixeMedio_1 / 2,
d73_1,mm,ProximalBarrigaExpessura_1,
d74_1,mm,ProximalOffsetBarriga_1,
